Pred, Real
0.043445971036019264, 3.4
0.05924905270409923, 3.1
0.011468620579802467, 2.6
0.04201680672268908, 2.9
0.048484848484848485, 2.8
0.05100580125065926, 2.8
0.05828340206987785, 2.8
0.01898488957768309, 2.8
0.033925686591276275, 2.7
0.04116026575919623, 2.6
0.027457927369353423, 2.8
0.015700572959297564, 2.8
0.0897812054656719, 2.9
0.0362086494095566, 3.1
0.008748437778968013, 2.6
0.01888276947285601, 2.4
0.04577595831782662, 2.6
0.014637391882900848, 2.5
0.029705904141047523, 2.9
0.0386612810155799, 2.6
0.05209322714985019, 2.8
0.02615538924465705, 3.1
0.015327160974091644, 3.4
0.038489469862018864, 3.1
0.08069765501126598, 2.8
0.002716614240777777, 2.8
0.011147069399496601, 2.8
0.02880658436213992, 2.7
0.045898521912006246, 2.8
0.03594237338482106, 2.8
0.036820941417645685, 2.9
0.02750809061488672, 2.8
0.025224959433544785, 2.8
0.024039221888344134, 3.0
0.05908966273649578, 3.2
0.009609141669913026, 2.8
0.040372670807453416, 2.8
0.03628939055397181, 2.8
0.06123136528257394, 2.5
0.055530059660394655, 2.8
0.03999357532926435, 2.9
0.0376053326625582, 2.8
0.004366812227074236, 2.8
0.006554307116104896, 2.9
0.060838445807770966, 2.8
0.06190319394138956, 2.8
0.01925591346725303, 2.1
0.050228310502283144, 2.7
0.07327063106796114, 2.8
0.022762227007074753, 2.6
0.04571354571354573, 2.8
0.044369486248053994, 2.9
0.03482669769761448, 2.9
0.029148130934200916, 2.6
0.003000428632661821, 2.9
0.050773369199730994, 2.8
0.09462815318259055, 3.3
0.04716043720859132, 3.2
0.01188009393562646, 3.1
0.021036880556289064, 2.7
0.04320173737687117, 2.6
0.06825749167591567, 2.9
0.01895021807790642, 3.3
0.13619810633648946, 2.1
0.05771861037658428, 3.1
0.034580498866213116, 2.5
0.021533034467553516, 2.1
0.04667735613753788, 2.1
0.027186194617544332, 2.1
0.021321007902191737, 3.1
0.11272727272727273, 3.5
0.1799675734101963, 2.1
0.0868133315768674, 3.3
0.03289369140314636, 2.1
0.024478694469628314, 2.8
0.06361288568710072, 2.1
0.0502092050209205, 3.4
0.0241657077100115, 3.1
0.011959521619135223, 3.3
0.022027254060108265, 3.3
0.18349542334096106, 2.5
0.012505042355788601, 3.3
0.14968826860378656, 2.5
0.10257752952813169, 2.5
0.020056813290866816, 3.1
0.03807682609061109, 2.1
0.3338241957408246, 2.5
0.1833274461321088, 2.5
0.1680327868852459, 2.1
0.0272045028142589, 2.1
0.07119039679893296, 2.1
0.053420658092006655, 2.5
0.06628242074927951, 2.1
0.24473664770628648, 2.5
0.24128775307002986, 2.5
0.03587263200322453, 3.2
0.028022545050408836, 2.1
0.15671868358734595, 2.1
0.051051051051051066, 2.1
0.026662580447441, 2.1
0.03445840982912015, 2.1
0.07448780243450386, 2.1
0.04725700655933217, 2.1
0.09074719893151292, 2.1
0.07589528470442014, 2.5
0.1991249071245769, 2.5
0.1639549436795995, 2.5
0.10136721447313912, 2.1
0.027273197743621566, 2.1
0.018621677542575227, 2.5
0.032356095816946706, 3.3
0.06066485577544946, 2.1
0.5382678751258813, 3.1
0.14433501027421525, 2.5
0.519354978542633, 3.1
0.397602119057577, 3.1
0.0008445945945946066, 2.8
0.012731569718685687, 2.7
0.21168803867984023, 2.1
0.024369092012834985, 2.1
0.007213770444968254, 2.1
0.18661755678330263, 2.5
0.026106465429329005, 2.1
